# Bin_Center[MeV]	Sigma(w/ IBD cross section)[cm^2/fission/MeV]	Sigma(w/o IBD cross section)[cm^2/fission/MeV]
1.925	3.42276e-44	1.60701
2.175	6.43266e-44	1.07521
2.425	1.01023e-43	0.939303
2.675	1.29558e-43	0.774909
2.925	1.49842e-43	0.630459
3.175	1.64328e-43	0.514339
3.425	1.71665e-43	0.415308
3.675	1.7244e-43	0.332984
3.925	1.68418e-43	0.265778
4.175	1.56321e-43	0.205306
4.425	1.34352e-43	0.149462
4.675	1.11112e-43	0.105958
4.925	9.72068e-44	0.0803804
5.175	9.23642e-44	0.0668625
5.425	8.81281e-44	0.056381
5.675	7.7587e-44	0.0441507
5.925	6.03518e-44	0.0308151
6.175	4.24188e-44	0.0195208
6.425	3.11334e-44	0.0129677
6.675	2.64177e-44	0.0100234
6.925	2.16565e-44	0.00752033
7.175	1.46693e-44	0.00467898
7.425	9.46954e-45	0.00278478
7.675	8.65791e-45	0.0023572
8.65	1.44333e-45	0.000324331
