# Bin_center[MeV],N(antineutrino)/MeV/fission
0.05,0.753384
0.15,1.83024
0.25,2.26981
0.35,2.57268
0.45,2.81251
0.55,2.9566
0.65,2.86961
0.75,2.72842
0.85,2.76153
0.95,2.59468
1.05,2.39908
1.15,2.27034
1.25,2.03008
1.35,1.88663
1.45,1.82724
1.55,1.74949
1.65,1.67112
1.75,1.57687
1.85,1.47554
1.95,1.37293
2.05,1.29051
2.15,1.19605
2.25,1.10271
2.35,1.01339
2.45,0.944266
2.55,0.885683
2.65,0.821557
2.75,0.768602
2.85,0.721309
2.95,0.664649
3.05,0.622076
3.15,0.583807
3.25,0.541559
3.35,0.504161
3.45,0.460608
3.55,0.419384
3.65,0.385837
3.75,0.356717
3.85,0.328499
3.95,0.30077
4.05,0.270211
4.15,0.245683
4.25,0.220903
4.35,0.200194
4.45,0.180366
4.55,0.15771
4.65,0.141361
4.75,0.128639
4.85,0.117314
4.95,0.106451
5.05,0.0963775
5.15,0.0867091
5.25,0.0774281
5.35,0.0677926
5.45,0.0601864
5.55,0.0532476
5.65,0.0466997
5.75,0.041416
5.85,0.0368834
5.95,0.0322503
6.05,0.0284058
6.15,0.0252455
6.25,0.0219754
6.35,0.0194861
6.45,0.017072
6.55,0.0152355
6.65,0.0134405
6.75,0.0118618
6.85,0.0105185
6.95,0.00909932
7.05,0.00783601
7.15,0.00629636
7.25,0.00544798
7.35,0.00435202
7.45,0.00355865
7.55,0.00303309
7.65,0.00258397
7.75,0.00211778
7.85,0.00174528
7.95,0.00138831
8.05,0.00102987
8.15,0.000656085
8.25,0.000535053
8.35,0.000399224
8.45,0.000235143
8.55,0.00015669
8.65,0.000136477
8.75,0.000118101
8.85,0.000101636
8.95,7.58772e-05
9.05,6.19827e-05
9.15,4.96885e-05
9.25,4.16117e-05
9.35,3.62665e-05
9.45,3.12943e-05
9.55,2.55124e-05
9.65,2.1982e-05
9.75,1.88286e-05
9.85,1.52477e-05
9.95,1.17281e-05
10.05,1.05497e-05
