# Bin_center[MeV],N(antineutrino)/MeV/fission,nuclear_db,forbidden_treatment,corrections,missing_info
2.00,1.48,0.012,0.002,0.001,0.10
2.25,1.30,0.013,0.002,0.002,0.10
2.50,1.15,0.013,0.001,0.003,0.10
2.75,1.00,0.013,0.001,0.003,0.10
3.00,8.76e-1,0.014,0.004,0.004,0.10
3.25,7.59e-1,0.016,0.007,0.005,0.10
3.50,6.42e-1,0.017,0.001,0.005,0.10
3.75,5.39e-1,0.019,0.013,0.006,0.10
4.00,4.51e-1,0.022,0.016,0.006,0.10
4.25,3.67e-1,0.025,0.016,0.007,0.10
4.50,2.93e-1,0.028,0.014,0.008,0.10
4.75,2.32e-1,0.032,0.010,0.008,0.10
5.00,1.83e-1,0.038,0.005,0.009,0.10
5.25,1.43e-1,0.044,0.002,0.009,0.10
5.50,1.10e-1,0.052,0.002,0.009,0.15
5.75,8.35e-2,0.061,0.002,0.009,0.15
6.00,6.21e-2,0.071,0.002,0.010,0.15
6.25,4.70e-2,0.080,0.003,0.010,0.15
6.50,3.58e-2,0.090,0.004,0.011,0.15
6.75,2.71e-2,0.101,0.004,0.011,0.15
7.00,1.95e-2,0.109,0.005,0.011,0.20
7.25,1.33e-2,0.110,0.007,0.011,0.20
7.50,8.65e-3,0.107,0.008,0.011,0.20
7.75,6.01e-3,0.111,0.008,0.012,0.20
8.00,3.84e-3,0.133,0.012,0.013,0.20
