# Bin_Center[MeV]	Sigma(w/ IBD cross section)[cm^2/fission/MeV]	Sigma(w/o IBD cross section)[cm^2/fission/MeV]
1.925	3.1608e-44	1.4851
2.175	5.73311e-44	0.958336
2.425	9.13986e-44	0.848835
2.675	1.21247e-43	0.725703
2.925	1.45614e-43	0.612256
3.175	1.63955e-43	0.512339
3.425	1.75375e-43	0.424312
3.675	1.78992e-43	0.345533
3.925	1.7452e-43	0.275179
4.175	1.64904e-43	0.216622
4.425	1.54703e-43	0.171952
4.675	1.45047e-43	0.138246
4.925	1.34427e-43	0.111081
5.175	1.21846e-43	0.0882003
5.425	1.0831e-43	0.0692842
5.675	9.59396e-44	0.0545972
5.925	8.50266e-44	0.0433675
6.175	7.27926e-44	0.0334722
6.425	5.80177e-44	0.024171
6.675	4.47119e-44	0.0169645
6.925	3.50642e-44	0.0121724
7.175	2.54215e-44	0.00810864
7.425	1.53262e-44	0.00450459
7.675	1.05454e-44	0.0028665
8.65	1.78821e-45	0.000416269
