# Bin_center[MeV],N(antineutrino)/MeV/fission
0.05,0.796573
0.15,1.89773
0.25,2.22827
0.35,2.46465
0.45,2.64528
0.55,2.74789
0.65,2.64173
0.75,2.48827
0.85,2.50238
0.95,2.31358
1.05,2.1346
1.15,2.0161
1.25,1.79149
1.35,1.64101
1.45,1.58149
1.55,1.49564
1.65,1.41805
1.75,1.32922
1.85,1.23491
1.95,1.13817
2.05,1.06234
2.15,0.973184
2.25,0.88729
2.35,0.808475
2.45,0.746805
2.55,0.697271
2.65,0.646017
2.75,0.600473
2.85,0.560442
2.95,0.511949
3.05,0.47572
3.15,0.443683
3.25,0.408075
3.35,0.377172
3.45,0.340667
3.55,0.307047
3.65,0.279028
3.75,0.256573
3.85,0.234694
3.95,0.212656
4.05,0.188549
4.15,0.170209
4.25,0.150498
4.35,0.134784
4.45,0.119771
4.55,0.10276
4.65,0.0915088
4.75,0.0833291
4.85,0.0761516
4.95,0.0687793
5.05,0.0626031
5.15,0.0566293
5.25,0.0507256
5.35,0.0438691
5.45,0.0390622
5.55,0.034645
5.65,0.030539
5.75,0.0271899
5.85,0.0243782
5.95,0.021494
6.05,0.0190371
6.15,0.0168939
6.25,0.0146784
6.35,0.012998
6.45,0.0113043
6.55,0.0101016
6.65,0.00889955
6.75,0.00785015
6.85,0.00694232
6.95,0.00601584
7.05,0.00516193
7.15,0.00403848
7.25,0.0034821
7.35,0.00276727
7.45,0.00229299
7.55,0.00192509
7.65,0.00162375
7.75,0.00132226
7.85,0.00107239
7.95,0.000831252
8.05,0.00057082
8.15,0.000306592
8.25,0.000248458
8.35,0.000184637
8.45,0.000107511
8.55,6.60281e-05
8.65,5.72645e-05
8.75,4.9242e-05
8.85,4.19938e-05
8.95,2.99916e-05
9.05,2.36691e-05
9.15,1.89838e-05
9.25,1.59303e-05
9.35,1.3899e-05
9.45,1.19949e-05
9.55,9.73677e-06
9.65,8.39664e-06
9.75,7.17207e-06
9.85,5.74476e-06
9.95,4.32131e-06
10.05,3.92185e-06
