# Bin_center[MeV],N(antineutrino)/MeV/fission
0.05,0.806654
0.15,1.93084
0.25,2.35693
0.35,2.67638
0.45,2.83076
0.55,2.96575
0.65,2.89888
0.75,2.77831
0.85,2.83101
0.95,2.69471
1.05,2.55028
1.15,2.4404
1.25,2.23075
1.35,2.07984
1.45,2.03162
1.55,1.94055
1.65,1.86822
1.75,1.77458
1.85,1.6745
1.95,1.57325
2.05,1.50006
2.15,1.40667
2.25,1.31821
2.35,1.23799
2.45,1.16904
2.55,1.11119
2.65,1.04604
2.75,0.993642
2.85,0.94423
2.95,0.886161
3.05,0.840184
3.15,0.798166
3.25,0.749896
3.35,0.706902
3.45,0.656369
3.55,0.610417
3.65,0.567387
3.75,0.531167
3.85,0.496218
3.95,0.460369
4.05,0.420645
4.15,0.388716
4.25,0.356409
4.35,0.328787
4.45,0.300881
4.55,0.27155
4.65,0.246489
4.75,0.226847
4.85,0.208935
4.95,0.191347
5.05,0.174983
5.15,0.15923
5.25,0.143548
5.35,0.128339
5.45,0.115165
5.55,0.103561
5.65,0.0922274
5.75,0.0831037
5.85,0.0749512
5.95,0.0669365
6.05,0.0600687
6.15,0.0539711
6.25,0.0481304
6.35,0.0433258
6.45,0.038801
6.55,0.0349244
6.65,0.0312314
6.75,0.0278622
6.85,0.0249408
6.95,0.0217964
7.05,0.0191068
7.15,0.0160393
7.25,0.0141359
7.35,0.0119205
7.45,0.0100826
7.55,0.00869629
7.65,0.00752655
7.75,0.00629344
7.85,0.00529772
7.95,0.00437444
8.05,0.00347723
8.15,0.00253939
8.25,0.00218233
8.35,0.00184939
8.45,0.00149481
8.55,0.0011828
8.65,0.00105456
8.75,0.000932433
8.85,0.000818305
8.95,0.000667809
9.05,0.000558965
9.15,0.000476918
9.25,0.00041133
9.35,0.000357173
9.45,0.000306985
9.55,0.000247957
9.65,0.000214475
9.75,0.000184161
9.85,0.000149808
9.95,0.000119033
10.05,0.000106145
