# Bin_center[MeV],N(antineutrino)/MeV/fission,nuclear_db,forbidden_treatment,corrections,missing_info
2.0,1.5362191884623755,0.012,0.002,0.001,0.1
2.25,1.31821,0.013,0.002,0.002,0.1
2.5,1.1397480237315614,0.013,0.001,0.003,0.1
2.75,0.993642,0.013,0.001,0.003,0.1
3.0,0.8628663243075372,0.014,0.004,0.004,0.1
3.25,0.749896,0.016,0.007,0.005,0.1
3.5,0.6329761416301566,0.017,0.001,0.005,0.1
3.75,0.531167,0.019,0.013,0.006,0.1
4.0,0.440058993778107,0.022,0.016,0.006,0.1
4.25,0.356409,0.025,0.016,0.007,0.1
4.5,0.28583952761995673,0.028,0.014,0.008,0.1
4.75,0.226847,0.032,0.01,0.008,0.1
5.0,0.18298216334113002,0.038,0.005,0.009,0.1
5.25,0.143548,0.044,0.002,0.009,0.1
5.5,0.10920898573377559,0.052,0.002,0.009,0.15
5.75,0.08310369999999999,0.061,0.002,0.009,0.15
6.0,0.06340968804173382,0.071,0.002,0.01,0.15
6.25,0.04813039999999999,0.08,0.003,0.01,0.15
6.5,0.03681170526340772,0.09,0.004,0.011,0.15
6.75,0.027862200000000004,0.101,0.004,0.011,0.15
7.0,0.020407338276218195,0.109,0.005,0.011,0.2
7.25,0.0141359,0.11,0.007,0.011,0.2
7.5,0.009363824728923541,0.107,0.008,0.011,0.2
7.75,0.006293439999999998,0.111,0.008,0.012,0.2
8.0,0.0039001197419053723,0.133,0.012,0.013,0.2
